ticker,asset_id,horizon,action,weight,usd_target,usd_target_effective,currency,fx_rate_used,fx_rate_source,lot_size,allow_fractional,broker_selected,current_qty,qty_target,delta_qty,order_side,order_type,time_in_force,order_qty,order_notional_usd,order_notional_ccy,min_notional_usd,order_status,cash_available_usd,cash_used_usd,price_used,price_source,expected_return_gross_pct,expected_return_net_pct,expected_return_net_usd,expected_return_source,fees_estimated_usd,fees_one_way,fees_round_trip,policy_id,policy_version,sizing_rule,constraints,reason,broker_costs,asof_date,execution_date,execution_hour
JPM,JPM,INTRADAY,EXIT,0.0,0.0,0.0,USD,1.0,native_usd,1,True,generic_us,0.0,0.0,0.0,,MARKET,DAY,0.0,0.0,0.0,0.0,NO_ORDER,,0.0,312.47,features.close,0.006969,0.0,0.0,calibrated,0.0,0.0,0.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,[],model_score=0.837475 day=2026-04-21 | empirical_mean=0.008248 | empirical_hit=0.884298 | empirical_n=121 | gross_pct=0.006969 | net_pct=-0.013031 | threshold=0.008000 | net<threshold,"{""balanz"":{""commission_pct"":0.006,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0},""generic_us"":{""commission_pct"":0.002,""fee_one_way"":1.0,""fee_round_trip"":2.0,""min_usd"":1.0},""iol"":{""commission_pct"":0.005,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0}}",2026-04-21,2026-04-22,1825
NVDA,NVDA,INTRADAY,SELL,0.0,0.0,85.33447469632438,USD,1.0,native_usd,1,True,generic_us,0.4582208811487106,0.0,-0.4582208811487106,SELL,MARKET,DAY,0.4582208811487106,85.33447469632438,85.33447469632438,50.0,READY,,0.0,186.23,features.close,0.0,-0.011718593259742338,-1.0,position_pnl,1.0,1.0,2.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,[],gross_pct=0.000000 | net_pct=-0.011719 | threshold=0.008000,"{""generic_us"":{""commission_pct"":0.002,""fee_one_way"":1.0,""fee_round_trip"":2.0,""min_usd"":1.0}}",2026-04-21,2026-04-22,1825
NVDA,NVDA,LONG_TERM,SELL,0.0,0.0,85.33447469632438,USD,1.0,native_usd,1,True,generic_us,0.4582208811487106,0.0,-0.4582208811487106,SELL,MARKET,DAY,0.4582208811487106,85.33447469632438,85.33447469632438,50.0,READY,,0.0,186.23,features.close,0.0,-0.011718593259742338,-1.0,position_pnl,1.0,1.0,2.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,[],gross_pct=0.000000 | net_pct=-0.011719 | threshold=0.050000,"{""generic_us"":{""commission_pct"":0.002,""fee_one_way"":1.0,""fee_round_trip"":2.0,""min_usd"":1.0}}",2026-04-21,2026-04-22,1825
