date,ticker,weight,proba,prediccion,ret_next
1999-12-01T00:00:00,NVDA.US,0.5,0.9892696738243103,1,0.07366684991753703
1999-12-01T00:00:00,AMZN.US,0.5,0.5756775736808777,1,0.04776470588235293
1999-12-02T00:00:00,NVDA.US,1.0,0.9696328639984131,1,-0.023809523809523836
1999-12-03T00:00:00,NVDA.US,1.0,0.9573224782943726,1,0.027799632835037835
1999-12-06T00:00:00,NVDA.US,0.5,0.9288023114204407,1,-0.03342689461597337
1999-12-06T00:00:00,AMZN.US,0.5,0.682612419128418,1,-0.015106431677729404
1999-12-07T00:00:00,NVDA.US,1.0,0.9664340615272522,1,0.04435058078141507
1999-12-08T00:00:00,NVDA.US,0.5,0.9656699895858765,1,-0.02982810920121337
1999-12-08T00:00:00,MSFT.US,0.5,0.6327353119850159,1,0.01089918256130784
1999-12-09T00:00:00,NVDA.US,0.5,0.9908213019371033,1,-0.011464304325169539
1999-12-09T00:00:00,MSFT.US,0.5,0.7117218375205994,1,0.012075471698113294
1999-12-10T00:00:00,NVDA.US,0.5,0.9921897053718567,1,-0.003426462836056854
1999-12-10T00:00:00,AMZN.US,0.5,0.7489400506019592,1,-0.03936269915651358
1999-12-13T00:00:00,NVDA.US,1.0,0.9880834221839905,1,-0.016397778365511928
1999-12-14T00:00:00,NVDA.US,0.3333333333333333,0.9797776937484741,1,-0.031997848884108615
1999-12-14T00:00:00,AAPL.US,0.3333333333333333,0.8470587134361267,1,0.022451776114683186
1999-12-14T00:00:00,AMZN.US,0.3333333333333333,0.6718955039978027,1,0.009097563526090147
1999-12-15T00:00:00,NVDA.US,0.5,0.9813916683197021,1,-0.00694444444444442
1999-12-15T00:00:00,AAPL.US,0.5,0.6177720427513123,1,0.013505154639175343
1999-12-16T00:00:00,NVDA.US,0.5,0.9843289852142334,1,0.05258741258741262
1999-12-16T00:00:00,AMZN.US,0.5,0.5986875891685486,1,-0.00864249578414833
1999-12-17T00:00:00,NVDA.US,0.3333333333333333,0.9786377549171448,1,0.08291256975817163
1999-12-17T00:00:00,AMZN.US,0.3333333333333333,0.643540620803833,1,0.03125664469487566
1999-12-17T00:00:00,MSFT.US,0.3333333333333333,0.6351218223571777,1,-0.021691973969631184
1999-12-20T00:00:00,NVDA.US,0.5,0.9747733473777771,1,0.042944785276073594
1999-12-20T00:00:00,AAPL.US,0.5,0.6860350370407104,1,0.04591836734693877
1999-12-21T00:00:00,NVDA.US,0.5,0.9371625781059265,1,0.0235294117647058
1999-12-21T00:00:00,AAPL.US,0.5,0.5839022397994995,1,-0.024975609756097583
1999-12-22T00:00:00,NVDA.US,0.5,0.9683312177658081,1,0.06620689655172418
1999-12-22T00:00:00,AAPL.US,0.5,0.9039266109466553,1,0.035621372823694264
1999-12-23T00:00:00,NVDA.US,0.3333333333333333,0.9104689955711365,1,-0.037731780940060355
1999-12-23T00:00:00,AAPL.US,0.3333333333333333,0.8346484303474426,1,-0.040483091787439585
1999-12-23T00:00:00,AMZN.US,0.3333333333333333,0.634528398513794,1,-0.09855555555555562
1999-12-27T00:00:00,NVDA.US,0.5,0.8279420733451843,1,-0.002912838897602521
1999-12-27T00:00:00,AAPL.US,0.5,0.7944399118423462,1,-0.01127781693686436
1999-12-28T00:00:00,NVDA.US,0.5,0.9328575730323792,1,0.03370786516853941
1999-12-28T00:00:00,AAPL.US,0.5,0.9128920435905457,1,0.025460841226194075
1999-12-29T00:00:00,NVDA.US,0.5,0.7270891070365906,1,0.008260869565217543
1999-12-29T00:00:00,AAPL.US,0.5,0.633765697479248,1,-0.003773959678220251
1999-12-30T00:00:00,NVDA.US,0.5,0.8136788010597229,1,0.01207416990081911
1999-12-30T00:00:00,AMZN.US,0.5,0.5963086485862732,1,-0.037060460409815366
1999-12-31T00:00:00,AMZN.US,0.5,0.8099656105041504,1,0.17404439774070668
1999-12-31T00:00:00,NVDA.US,0.5,0.7511622905731201,1,-0.0027694929697484882
2000-01-03T00:00:00,NVDA.US,1.0,0.838925838470459,1,-0.02670369579149756
2000-01-04T00:00:00,NVDA.US,0.5,0.6854564547538757,1,-0.03007023705004397
2000-01-04T00:00:00,AMZN.US,0.5,0.5692901015281677,1,-0.12435928728337808
2000-01-05T00:00:00,AMZN.US,0.5,0.7136362791061401,1,-0.08627177700348432
2000-01-05T00:00:00,NVDA.US,0.5,0.6816364526748657,1,-0.06788866259334692
2000-01-06T00:00:00,NVDA.US,0.3333333333333333,0.796090304851532,1,0.016751638747268816
2000-01-06T00:00:00,AAPL.US,0.3333333333333333,0.7073339223861694,1,0.047368421052631504
2000-01-06T00:00:00,AMZN.US,0.3333333333333333,0.6461620330810547,1,0.06101281269066505
2000-01-07T00:00:00,AMZN.US,0.3333333333333333,0.7565746903419495,1,-0.005319148936170248
2000-01-07T00:00:00,NVDA.US,0.3333333333333333,0.6779122352600098,1,0.032712511938872924
2000-01-07T00:00:00,AAPL.US,0.3333333333333333,0.5671182870864868,1,-0.017587939698492483
2000-01-10T00:00:00,AAPL.US,0.5,0.9107862114906311,1,-0.051150895140664954
2000-01-10T00:00:00,NVDA.US,0.5,0.8285857439041138,1,-0.040462427745664775
2000-01-11T00:00:00,NVDA.US,0.25,0.9729788303375244,1,-0.02554216867469883
2000-01-11T00:00:00,AAPL.US,0.25,0.93035888671875,1,-0.059946091644204835
2000-01-11T00:00:00,MSFT.US,0.25,0.8223381638526917,1,-0.0325500594312883
2000-01-11T00:00:00,AMZN.US,0.25,0.743452787399292,1,-0.04779026217228466
2000-01-12T00:00:00,NVDA.US,0.25,0.9883063435554504,1,0.041790306627101925
2000-01-12T00:00:00,AAPL.US,0.25,0.7785912752151489,1,0.10964560155981196
2000-01-12T00:00:00,MSFT.US,0.25,0.5880485773086548,1,0.01890180512238926
2000-01-12T00:00:00,AMZN.US,0.25,0.576468825340271,1,0.037444933920704804
2000-01-13T00:00:00,NVDA.US,0.5,0.9797996878623962,1,0.04296225967244238
2000-01-13T00:00:00,AMZN.US,0.5,0.5937601923942566,1,-0.025629360024264414
2000-01-14T00:00:00,NVDA.US,0.3333333333333333,0.9847524762153625,1,0.04255803368229416
2000-01-14T00:00:00,AAPL.US,0.3333333333333333,0.8071375489234924,1,0.034846674631620944
2000-01-14T00:00:00,AMZN.US,0.3333333333333333,0.5777679085731506,1,-0.001867704280155702
2000-01-18T00:00:00,NVDA.US,0.3333333333333333,0.9725738763809204,1,-0.009386596812922976
2000-01-18T00:00:00,AMZN.US,0.3333333333333333,0.7594411969184875,1,0.041790113831280395
