date,capital
2026-02-05,100.40362055348847
2026-02-06,100.99361749183018
2026-02-07,101.54759351138203
2026-02-08,101.97478409433984
2026-02-09,102.19635837025666
2026-02-10,102.36260025545866
2026-02-11,102.77575674917492
2026-02-12,103.07132637468553
2026-02-13,103.48734343268693
2026-02-14,103.78495948836957
2026-02-15,104.03612566641232
2026-02-16,104.31602917074336
2026-02-17,104.7370701050595
2026-02-18,105.04736541115982
2026-02-19,105.31455192973681
2026-02-20,105.58241803352215
2026-02-21,105.85096545103139
2026-02-22,106.01403532429201
2026-02-23,106.32370495571702
2026-02-24,106.77256631289877
2026-02-25,106.87036825813483
2026-02-26,107.15939337053223
2026-02-27,107.59191070716925
2026-02-28,108.02617377267434
2026-03-01,108.46218961316801
2026-03-02,108.53240512693459
2026-03-03,108.97046422122226
2026-03-04,109.4102914120509
2026-03-05,109.5843338382295
2026-03-06,109.69742574822483
2026-03-07,109.87192492811336
2026-03-08,110.66328835766876
2026-03-09,111.1300091097245
2026-03-10,111.40408244599786
2026-03-11,111.11593838936416
2026-03-12,111.03097996530597
2026-03-13,111.09598319510057
2026-03-14,111.01104002863622
2026-03-15,111.6043004406475
2026-03-16,112.02378706454296
2026-03-17,111.72976008026615
2026-03-18,112.39932354094384
2026-03-19,112.36795071879949
2026-03-20,112.41732897357366
2026-03-21,112.87106841899374
2026-03-22,113.32663925007482
2026-03-23,113.78404885866584
2026-03-24,114.24330466645077
2026-03-25,114.70441412506901
2026-03-26,115.1673847162363
2026-03-27,115.63222395186615
2026-03-28,116.09893937419169
2026-03-29,116.56753855588804
2026-03-30,117.03802910019519
2026-03-31,117.51041864104138
2026-04-01,118.01791506741222
2026-04-02,118.52760323665791
2026-04-03,119.03949261433641
2026-04-04,119.3644021568626
2026-04-05,119.88587270813859
2026-04-06,119.9631553259753
2026-04-07,120.36355426469335
2026-04-08,120.85287762096182
2026-04-09,120.98691186411097
2026-04-10,121.3629343911135
2026-04-11,121.74012558122706
2026-04-12,121.99785052279599
2026-04-13,122.45167456626149
2026-04-14,122.97542527299831
2026-04-15,123.12613555191156
2026-04-16,123.34240347738238
2026-04-17,123.84023876898375
2026-04-18,124.34008342614456
2026-04-19,124.84194555907717
2026-04-20,125.40922187768388
2026-04-21,126.00554798400478
