date,capital
1999-12-01,1.0580823529411765
1999-12-02,1.0320434500840336
1999-12-03,1.0607338790661753
1999-12-06,1.0341448202311705
1999-12-07,1.07918242776433
1999-12-08,1.0681051993190056
1999-12-09,1.0684315948433534
1999-12-10,1.0447182032726123
1999-12-13,1.026751371158314
1999-12-14,1.0255026672022214
1999-12-15,1.0283197453480988
1999-12-16,1.0500918023800583
1999-12-17,1.0773818229146717
1999-12-20,1.1241023883183587
1999-12-21,1.1232895510103065
1999-12-22,1.1804808665037416
1999-12-23,1.129399542022931
1999-12-27,1.1207837355002928
1999-12-28,1.1539413973891974
1999-12-29,1.1565302129216781
1999-12-30,1.1411562888100946
1999-12-31,1.179516546758826
2000-01-03,1.1470754824757334
2000-01-04,1.10023451919169
2000-01-05,1.0452227932321057
2000-01-06,1.0882625845789637
2000-01-07,1.0918195430149404
2000-01-10,1.041852915998019
2000-01-11,1.000417776902858
2000-01-12,1.0424695992639559
2000-01-13,1.050670134059704
2000-01-14,1.0765646013730783
2000-01-18,1.0972383620124142
2000-01-19,1.108733478032393
2000-01-20,1.0789857197760804
2000-01-21,1.0926388072358169
2000-01-24,1.1049009435417994
2000-01-25,1.062425139185565
2000-01-26,1.0549089319338842
2000-01-27,1.0248952958669315
2000-01-28,1.044478534135727
2000-01-31,1.0387044852444605
2000-02-01,1.0531185013647093
2000-02-02,1.085043329933346
2000-02-03,1.122403768746432
2000-02-04,1.1071373672586882
2000-02-07,1.1369493058739886
2000-02-08,1.1218706439965067
2000-02-09,1.1321918539212745
2000-02-10,1.1215410255476668
2000-02-11,1.137328280141041
2000-02-14,1.1292490115612335
2000-02-15,1.1264301236487826
2000-02-16,1.1323585519350365
2000-02-17,1.0748347374967366
2000-02-18,1.0523959778485028
2000-02-22,1.0732747151120827
2000-02-23,1.0598763970856129
2000-02-24,1.0694313490240226
2000-02-25,1.0385867529991228
2000-02-28,1.0647535181063348
2000-02-29,1.0254431250610159
2000-03-01,1.0003507805952017
2000-03-02,1.007452237634056
2000-03-03,1.0298579753990376
2000-03-06,1.0615356593746412
2000-03-07,1.067018259186106
2000-03-08,1.1408559227217845
2000-03-09,1.1638736898955453
2000-03-10,1.1319964402979197
2000-03-13,1.1055641587566327
2000-03-14,1.0671362017832506
2000-03-15,1.108130971323128
2000-03-16,1.136809800957774
2000-03-17,1.1193257284970448
2000-03-20,1.1592462874488758
2000-03-21,1.148939403371459
2000-03-22,1.13471921393891
2000-03-23,1.08643909914779
2000-03-24,1.0321171441904005
2000-03-27,1.0005273494639084
2000-03-28,0.9499673674043323
2000-03-29,0.9489824454299784
2000-03-30,0.9857644341983359
2000-03-31,0.9364762124884191
2000-04-03,0.9219601914465291
2000-04-04,0.9416120454490702
2000-04-05,0.9647104917914477
2000-04-06,1.0150417828989315
2000-04-07,0.9698097765092516
2000-04-10,0.9403451704899696
2000-04-11,0.893327911965471
2000-04-12,0.8511802227330717
2000-04-13,0.8079402674182317
2000-04-14,0.84915931303797
2000-04-17,0.9079211375001975
2000-04-18,0.8776800224186659
2000-04-19,0.8712545216687355
2000-04-20,0.8278048314211717
2000-04-24,0.8786323139784281
2000-04-25,0.8830159350529649
2000-04-26,0.9075722732529699
2000-04-27,0.9143109629353259
2000-04-28,0.9498590387280216
2000-05-01,0.9060050717176074
2000-05-02,0.8933094304948086
2000-05-03,0.9032405670600336
2000-05-04,0.9379097674059317
2000-05-05,0.9074276922600191
2000-05-08,0.8886604739375688
2000-05-09,0.8435165218615402
2000-05-10,0.8708460699467997
2000-05-11,0.8821220636834401
2000-05-12,0.8972241286895779
2000-05-15,0.9476929068555838
2000-05-16,0.9672702509998156
2000-05-17,0.935863940087119
2000-05-18,0.9016753392338104
2000-05-19,0.8752124779613083
2000-05-22,0.8438823333065248
2000-05-23,0.8714115206693513
2000-05-24,0.8622584580070698
2000-05-25,0.8648994467408989
2000-05-26,0.89885964008101
2000-05-30,0.8641485211603256
2000-05-31,0.8918956669764966
2000-06-01,0.9533770082867431
2000-06-02,0.9223423206455984
2000-06-05,0.9243743104841319
2000-06-06,0.9536720744703209
2000-06-07,0.9449538575501893
2000-06-08,0.9585512179793901
2000-06-09,0.9112511786001457
2000-06-12,0.9318641665157776
2000-06-13,0.9023703596749181
2000-06-14,0.9157753843843993
2000-06-15,0.9275789663145545
2000-06-16,0.9474968707805789
2000-06-19,0.9787724328430346
2000-06-20,0.976504176000185
2000-06-21,0.9276789672001757
2000-06-22,0.8910846510953383
2000-06-23,0.9217835019786189
2000-06-26,0.8975187173786254
2000-06-27,0.9015377230133822
2000-06-28,0.873419331754691
2000-06-29,0.8933228734275254
2000-06-30,0.9037919915047568
2000-07-03,0.8746816646315407
2000-07-05,0.889925030794813
2000-07-06,0.9129015350665262
2000-07-07,0.9341271557221916
2000-07-10,0.9393191128290296
2000-07-11,0.9770809762198723
2000-07-12,0.9823719442269881
2000-07-13,1.0092884759254512
2000-07-14,0.9964169904679664
2000-07-17,0.9883026446822143
2000-07-18,0.9378333229604425
2000-07-19,0.9424623167078631
2000-07-20,0.9608802421584027
2000-07-21,0.9120675258567559
2000-07-24,0.9070992098051339
2000-07-25,0.8793865395697559
2000-07-26,0.8604954101326295
2000-07-27,0.8487195372419266
2000-07-28,0.900384965747369
2000-07-31,0.886287236296638
2000-08-01,0.8853922441671823
2000-08-02,0.90962297304436
2000-08-03,0.9207543837690249
2000-08-04,0.958237381761203
2000-08-07,0.9351205728825561
2000-08-08,0.915265782355804
2000-08-09,0.9119722133310301
2000-08-10,0.9222360889061378
2000-08-11,0.9287567496320381
2000-08-14,0.9692931727850814
2000-08-15,0.990005288908766
2000-08-16,1.0084458116193882
2000-08-17,1.0078424728326214
2000-08-18,1.0168458655899262
2000-08-21,0.9977622751294004
2000-08-22,1.0550669398545902
2000-08-23,1.069437236116352
2000-08-24,1.0627029703953104
2000-08-25,1.07318099818053
2000-08-28,1.0832705619886147
2000-08-29,1.1136400976786427
2000-08-30,1.1129614511644759
2000-08-31,1.1282964549927932
2000-09-01,1.1493099589417586
2000-09-05,1.1125927464940606
2000-09-06,1.1366530989677524
2000-09-07,1.0938870704931802
2000-09-08,1.0747045103863881
2000-09-11,1.0704295704331408
2000-09-12,1.0697318742610578
2000-09-13,1.0673798298198633
2000-09-14,1.054587370121393
2000-09-15,1.049595712626174
2000-09-18,1.0389851357276714
2000-09-19,1.0189018962649163
2000-09-20,1.0392919628931567
2000-09-21,1.0399427200303593
2000-09-22,1.0640421596818188
2000-09-25,1.0533332402762212
2000-09-26,1.0390059326743168
2000-09-27,1.0932237727693614
2000-09-28,1.0563162329928248
2000-09-29,1.0165495132387297
2000-10-02,0.9765931832553623
2000-10-03,0.9750871484032402
2000-10-04,0.9508745571492557
2000-10-05,0.9205394461034565
2000-10-06,0.9082602893420061
2000-10-09,0.8985325830466319
2000-10-10,0.8825556757271995
2000-10-11,0.8616385664368611
2000-10-12,0.908533377258866
2000-10-13,0.8746310630019246
2000-10-16,0.8413931034903209
2000-10-17,0.8438721975476787
2000-10-18,0.8691883634741091
2000-10-19,0.9119960586446914
2000-10-20,0.9102260161647077
2000-10-23,0.8855504130749887
2000-10-24,0.8540213456228012
2000-10-25,0.8884930749044908
2000-10-26,0.8877853626180661
2000-10-27,0.8790515097972564
2000-10-30,0.9120588894426023
2000-10-31,0.9295662901771446
2000-11-01,0.9787668010772325
2000-11-02,0.973821447912094
2000-11-03,0.9938467713805459
2000-11-06,0.9856770849311578
2000-11-07,0.9500298390334068
2000-11-08,0.9200344070574699
2000-11-09,0.8765475547350946
2000-11-10,0.8623065975427008
2000-11-13,0.9032953127577774
2000-11-14,0.9047665257961071
2000-11-15,0.8679038726438384
2000-11-16,0.8554883828729272
2000-11-17,0.8334121583332765
2000-11-20,0.8189786044619067
2000-11-21,0.8110842761879566
2000-11-22,0.8573587479261675
2000-11-24,0.8292580028136934
2000-11-27,0.7905082272109464
2000-11-28,0.7835867567601966
2000-11-29,0.7440939842194827
2000-11-30,0.7688746107340448
2000-12-01,0.7584269099764986
2000-12-04,0.7768101559018153
2000-12-05,0.7379696481067245
2000-12-06,0.7161659994126622
2000-12-07,0.715593066613132
2000-12-08,0.7181091412521293
2000-12-11,0.7198690154953233
2000-12-12,0.6939423289249489
2000-12-13,0.665745266551878
2000-12-14,0.6461154250827073
2000-12-15,0.6450743344774057
2000-12-18,0.6197994921323845
2000-12-19,0.61238550963602
2000-12-20,0.5871035557244338
2000-12-21,0.6135666008343894
2000-12-22,0.6149872348270268
2000-12-26,0.6242959573852755
2000-12-27,0.6312542717860405
2000-12-28,0.6117872402034732
2000-12-29,0.5964925591983863
2001-01-02,0.6375312472712352
