ticker,asset_id,horizon,action,weight,usd_target,usd_target_effective,currency,fx_rate_used,fx_rate_source,lot_size,allow_fractional,broker_selected,current_qty,qty_target,delta_qty,order_side,order_type,time_in_force,order_qty,order_notional_usd,order_notional_ccy,min_notional_usd,order_status,cash_available_usd,cash_used_usd,price_used,price_source,expected_return_gross_pct,expected_return_net_pct,expected_return_net_usd,expected_return_source,fees_estimated_usd,fees_one_way,fees_round_trip,policy_id,policy_version,sizing_rule,constraints,reason,broker_costs,asof_date,execution_date,execution_hour
MSFT,MSFT,INTRADAY,EXIT,0.0,0.0,0.0,USD,1.0,native_usd,1,True,generic_us,0.0,0.0,0.0,,MARKET,DAY,0.0,0.0,0.0,0.0,NO_ORDER,,0.0,459.86,features.close,0.008999,0.0,0.0,calibrated,0.0,0.0,0.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,[],model_score=0.989962 day=2026-04-21 | empirical_mean=0.007869 | empirical_hit=0.992537 | empirical_n=134 | gross_pct=0.008999 | net_pct=-0.031001 | threshold=0.008000 | net<threshold,"{""balanz"":{""commission_pct"":0.006,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0},""generic_us"":{""commission_pct"":0.002,""fee_one_way"":1.0,""fee_round_trip"":2.0,""min_usd"":1.0},""iol"":{""commission_pct"":0.005,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0}}",2026-04-21,2026-04-22,1920
JPM,JPM,INTRADAY,EXIT,0.0,0.0,0.0,USD,1.0,native_usd,1,True,generic_us,0.0,0.0,0.0,,MARKET,DAY,0.0,0.0,0.0,0.0,NO_ORDER,,0.0,312.47,features.close,0.012018,0.0,0.0,calibrated,0.0,0.0,0.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,[],model_score=0.986067 day=2026-04-21 | empirical_mean=0.011419 | empirical_hit=1.000000 | empirical_n=152 | gross_pct=0.012018 | net_pct=-0.027982 | threshold=0.008000 | net<threshold,"{""balanz"":{""commission_pct"":0.006,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0},""generic_us"":{""commission_pct"":0.002,""fee_one_way"":1.0,""fee_round_trip"":2.0,""min_usd"":1.0},""iol"":{""commission_pct"":0.005,""fee_one_way"":5.0,""fee_round_trip"":10.0,""min_usd"":5.0}}",2026-04-21,2026-04-22,1920
AMD,AMD,INTRADAY,EXIT,0.0,0.0,0.0,USD,1.0,native_usd,1,True,generic_us,0.0,0.0,0.0,,MARKET,DAY,0.0,0.0,0.0,0.0,NO_ORDER,,0.0,231.83,features.close,0.021038,0.0,0.0,calibrated,0.0,0.0,0.0,policy.topk.net_after_fees.v1,1,weights.normalized_pct,[],model_score=0.973208 day=2026-04-21 | empirical_mean=0.021638 | empirical_hit=0.993289 | empirical_n=149 | gross_pct=0.021038 | net_pct=0.000000 | threshold=0.008000 | net<threshold,"{""balanz"":{""commission_pct"":0.006,""fee_one_way"":0.0,""fee_round_trip"":0.0,""min_usd"":5.0},""generic_us"":{""commission_pct"":0.002,""fee_one_way"":0.0,""fee_round_trip"":0.0,""min_usd"":1.0},""iol"":{""commission_pct"":0.005,""fee_one_way"":0.0,""fee_round_trip"":0.0,""min_usd"":5.0}}",2026-04-21,2026-04-22,1920
